Summary,Requirement ID,Description,Requirement Rationale
CF: Transfer File Command - File Not Found,CF3000.3,"When CF receives a ""Transfer File"" command, if the command-specified file is not found, CF shall reject the command.","For robust and secure operations, command must be validated prior to execution. Provides operational interface as to why the command was not executed."
CF: Transfer File Command - Pending Queue Full,CF3000.4,"When CF receives a ""Transfer File"" command, if the playback-pending queue is full, CF shall reject the command.","For robust and secure operations, command must be validated prior to execution. Provides operational interface as to why the command was not executed. Filterable is required to avoid multiple events when commands are sequenced."
CF: Transfer File Command - Invalid Channel,CF3000.5,"When CF receives a ""Transfer File"" command, if the command-specified playback-channel number is not valid, CF shall reject the command.","For robust and secure operations, command must be validated prior to execution"
CF: Transfer File Command - Invalid Service Class,CF3000.6,"When CF receives a ""Transfer File"" command, if the command-specified CFDP class is neither Class 1 nor Class 2, CF shall reject the command.",CF App only supports Class 1 and Class 2 CFDP requests
CF: Playback Directory Command,CF3001,"When CF receives a ""Playback Directory"" command, CF shall play back all the files inside the command-specified directory as indicated by the command-specified service class, priority, destination path, keep/delete flag, channel, and peer-entity id.",Operational interface to support automation of file transfer. Interface excludes subdirectories to reduce complexity of implementation. Note the 
CF: Playback Directory Command - Skip Open File,CF3001.1,"While CF is playing back multiple files, if the next file to be transferred is open, CF shall skip its transfer and issue an error event message. ",Open files are in a uncertain state and may change during transfer potential containing erroneous data.  Note this requirement is different than CF3000.1 in that this is determined at time of playback not at command receipt.
CF: Playback Directory Command - Directory Not Found,CF3001.3,"When CF receives a ""Playback Directory"" command, if the command-specified directory is not found, CF shall reject the command.","For robust and secure operations, command must be validated prior to execution. Provides operational interface as to why the command was not executed."
CF: Playback Directory Command - Pending Queue Full,CF3001.5,"When CF receives a ""Playback Directory"" command, if the playback-pending queue is full, CF shall reject the command.","For robust and secure operations, constraints on resource violations must be checked and reported."
CF: Playback Directory Command - Invalid Channel,CF3001.6,"When CF receives a ""Playback Directory"" command, if the command-specified playback channel number is not valid, CF shall reject the command.",Support an operational interface to provide operator feedback when commands are malformed.
CF: Playback Directory Command - Invalid Service Class,CF3001.7,"When CF receives a ""Playback Directory"" command, if the command-specified class number is not valid, CF shall reject the command.",Basic requirement to check parameters for reliable and secure operations. 
CF: Publish PDUs To Software Bus,CF3005,CF shall encapsulate and publish CFDP-PDUs as cFE-SB messages.,CF application is a cFS compliant component that must implement the cFS architectural patterns. Each channel's MID should be unique to that channel. The intent is to allow different communication interfaces to subscribe to a selected channel and manage it independently
CF: Publish PDUs To Software Bus - Unique Message ID Per Channel,CF3005.1,Each CF channel shall have a unique cFE-SB Message ID.,"Playback channels may have different message routes to destination. In cFS, the Message ID provides that routing identifier. Unique cFE-SB Message IDs can avoid data corruption and memory problems. "
CF: Publish PDUs To Software Bus - Unique Message ID Per Channel - Configuration Table,CF3005.1.1,The CF-channel cFE-SB Message IDs shall be specified in a CF configuration table.,"Run-time configuration table supports ease of deployment, operation maintenance, fault management, and data path configuration."
CF: External PDU Output Rate Control,CF3006,The PDU output rate shall be controllable from outside the CF Application.,"As a data source in a real-time resourced constrained system, CF must not send more data than the receiver can reliably process or forward"
CF: Sequential Playback Within A Channel,CF3007,"While there are multiple transactions in the playback-pending queue for a given channel, CF shall wait for the ""EOF Sent"" marker on the file currently being played back before starting playback for the next file in the queue. ","Provides predictable file-in-order delivery. This does not imply that the ""EOF Sent"" has been acknowledged by the receiving peer entity.

Although CCSDS 3.1.2 says ""The CFDP entity shall be implemented such that virtually any number of transactions may be concurrently in various stages of transmission or reception at a single CFDP entity."" this number must be constrained for performance."
CF: Pending Queue Check Frequency,CF3008,"While there is no playback in progress, CF shall check the playback-pending channel queue for files at the configuration-table-defied frequency.",Supports automation of playback queuing
CF: Configurable Pending Queue Depth,CF3009,The CF channel playback-pending-queue depth shall be configurable.,Supports recovery of file transfer operations to a known configuration and state
CF: Configurable History Queue Depth,CF3010,The CF file-transfer history-queue depth shall be configurable.,Operational interface to support user knowledge of which files have been transferred and in what order. 
CF: Configurable Number Of Channels,CF4000,The number of CF channels shall be defined by a CF configuration table.,Table-defined configurations support cFS architecture goals of scalability and reconfiguration of mission variability points
CF: Configurable Channel Parameters,CF4000.1,CF-channel parameters shall be defined by a CF configuration table.,Table-defined configurations support cFS architecture goals of scalability and reconfiguration of mission variability points
CF: Configurable Channel Parameters - Configuration Table Contents,CF4000.1.1,"The ""CF Configuration Table"" shall include the following parameters:
-- Engine parameter(s)
1. Local entity ID
-- Channel parameters (per-channel)
2. Dequeue Enable 
3. Transmit PDU MID
4. Receive PDU MID
5. Handshake Semaphore Name
6. Acknowledge timer limit
7. Non-acknowledge timer limit
8. Acknowledge retry limit
9. Non-acknowledge retry limit
10. Inactivity timer limit
-- Polling Directory Parameters (per-polling directory)
11. Enable State
12. CFDP Class
13. Priority
14. Source Path
15. Destination Path
16. Peer Entity Id","Engine, channel, and polling directory configuration parameters for operational flexibility."
CF: Dedicated Channel Pending Queue,CF4000.2,Each CF channel shall have a dedicated and independent pending queue. ,"Playback channels should be independent to avoid one channels from stalling another channel.

The channel dictates the SB MsgId / Apid that the playback data PDUs will be generated with. Separate queues also helps when the one channel is throttled - e.g. if there are two channels and one is slow and one is faster, a playback requests to the slow channel may block the faster channel if they shared a single pending queue."
CF: Enable Directory Polling Command,CF4001,"When CF receives an ""Enable Polling"" command, CF shall enable poll-directory processing.",Operational interface
CF: Polling Directory Scan Frequency,CF4001.1,CF Polling Directories shall be polled for files at the configuration-table-defined frequency.,Operational interface to support optimization of resource utilization and file transfer bandwidth
CF: Polling Directory Transmission Priority,CF4001.2.1,CF shall send all files in the polling directory at the configuration-table-specified priority level.,Operational interface for resource management
CF: Disable Directory Polling Command,CF4001.3,"When CF receives a ""Disable Polling"" command, CF shall disable poll-directory processing.",Operational Interface
CF: Freeze Channel Command,CF5000,"When CF receives a ""Freeze Channel"" command, CF shall disable the command-specified channel.","Operational interface that halts all transactions at their current state. (timers, suspend, etc.) Typically used for contact scheduling "
CF: Freeze Channel Command - Pause In-Progress Transactions,CF5000.1,"When CF receives a ""Freeze Channel"" command, CF shall pause all in-progress transactions for the command-specified channel.",Ensure command is applied immediately
CF: Freeze Channel Command - New Transaction While Frozen,CF5000.2,"While a channel is frozen, when a new transaction is received for that channel, CF shall not process that transaction.",A frozen channel cannot receive new transactions 
CF: Thaw Channel Command,CF5001,"When CF receives a ""Thaw Channel"" command, CF shall re-enable the command-specified channel.",Operational Interface
CF: Thaw Channel Command - Resume Paused Transactions,CF5001.1,"When CF receives a ""Thaw Channel"" command, CF shall resume processing all paused transactions for the command-specified channel.","Operational interface that resumes all transactions at their current state. (timers, suspend,…) Typical used for contact scheduling"
CF: Commandable Protocol Parameters,CF5002,"The following parameters shall be configurable by a CF command:
1. CFDP channel Ack-Timer Value (seconds)
2. CFDP channel NAK-Timer Value (seconds)  
3. CFDP channel Inactivity-Timeout Value (seconds) 
4. CFDP channel Maximum Ack Timeouts (integer counts)
5. CFDP channel Maximum NAK Timeouts (integer counts)","Operational interface to support mission variability and reconfiguration
"
CF: Commandable Protocol Parameters - Configuration Table Defaults,CF5002.1,"The default values for the CFDP channel protocol parameters below shall be defined by a CF Configuration Table:
1. CFDP channel Ack-Timer Value (seconds)
2. CFDP channel NAK-Timer Value (seconds)  
3. CFDP channel Inactivity-Timeout Value (seconds) 
4. CFDP channel Maximum Ack Timeouts (integer counts)
5. CFDP channel Maximum NAK Timeouts (integer counts)",Ensure CF starts in a known and valid operational state
CF: Set Protocol Configuration Command,CF5002.2,"When CF receives a ""Set CFDP Channel Protocol Configuration"" command, CF shall set the command-specified parameter to the command-specified value and issue a cFE event message that confirms the change. ",Operational Interface
CF: Set Protocol Configuration Command - Invalid Parameter,CF5002.3,"When CF receives a ""Set CFDP Channel Protocol Configuration"" command,  if the command-specified parameter is invalid, CF shall reject the command.  ",Command validity check for robust operation
CF: Set Protocol Configuration Command - Invalid Parameter Value,CF5002.4,"When CF receives a ""Set CFDP Channel Protocol Configuration"" command,  if the command-specified parameter *value* is invalid, CF shall reject the command.",Command validity check for robust operation
CF: Get Protocol Configuration Command,CF5003,"When CF receives a ""Get CFDP Channel-Protocol Configuration Parameter"" command, CF shall issue an event message containing the current value of the command-specified configuration-table parameter.",Operational interface 
CF: Get Protocol Configuration Command - Invalid Parameter,CF5003.1,"When CF receives a ""Get CFDP Channel-Protocol Configuration Parameter"" command, if the command-specified parameter is invalid, CF shall reject the command. ",Operational robustness
CF: Cancel Transaction Command,CF5005,"When CF receives a ""Cancel Transaction"" command, CF shall cancel the transaction indicated by the command-specified Entity ID and transaction-sequence number.",Support an operational interface to control transactions. Transaction-Id provides a mechanism to scale to large systems and avoid performance issues with string searches
CF: Cancel Transaction Command - Transaction Not In Progress,CF5005.1,"When CF receives a ""Cancel Transaction"" command, if the command-specified transaction is not in progress, CF shall reject the command.",Support an operational interface to provide operator feedback.
CF: Abandon Transaction Command,CF5006,"When CF receives an ""Abandon Transaction"" command, CF shall abandon the command-specified transaction.",Support an operational interface to provide operator feedback.
CF: Abandon Transaction Command - Transaction Not In Progress,CF5006.1,"When CF receives an ""Abandon Transaction"" command, if the command-specified transaction is not in progress, CF shall reject the command.",Support an operational interface to provide operator feedback.
CF: Abandon All Transactions Command,CF5007,"When CF receives an ""Abandon All Transactions"" command, CF shall abandon all transactions.",Operational interface that removes transaction state for all active transaction. 
CF: Abandon All Transactions Command - No Transactions In Progress,CF5007.1,"When CF receives an ""Abandon All Transactions"" command, if there are no transactions in progress, CF shall reject the command.",Support an operational interface to provide operator feedback.
CF: Write Active Transactions Command,CF5009,"When CF receives a ""Write Active Transactions"" command, CF shall write all active transactions to a file. ",Operational interface supporting operator insight into transfer sequence and state
CF: Enable Dequeue Command,CF5010,"When CF receives an ""Enable Dequeue"" command, CF shall enable the dequeueing of pending transactions for the command-specified channel.",Operational interface that allows queued file transfers to begin on a channel. Separate from channel freeze so that transfer requests can continue to be queued while transmission is withheld.
CF: Enable Dequeue Command - Invalid Channel,CF5010.1,"When CF receives an ""Enable Dequeue"" command, if the command-specified channel is not valid, CF shall reject the command.",Ensure robust operations and provide operator feedback.
CF: Disable Dequeue Command,CF5011,"When CF receives a ""Disable Dequeue"" command, CF shall disable the dequeueing of pending transactions for the command-specified channel.",Operational interface that withholds pending file transfers from becoming active while allowing in-progress transactions to complete. Typically used to quiesce a channel before reconfiguration.
CF: Disable Dequeue Command - Invalid Channel,CF5011.1,"When CF receives a ""Disable Dequeue"" command, if the command-specified channel is not valid, CF shall reject the command.",Ensure robust operations and provide operator feedback.
CF: Maximum Simultaneous Transactions Per Channel,CF5013,The CF maximum number of simultaneous per-channel transactions shall be defined and configured at compile time. ,Channel concept extended to allow independent operations when other channels may be blocked due to maximum transactions
CF: Maximum Downlink PDU Size Per Channel,CF5014,The CF maximum per-channel downlink-PDU size shall be defined and configured at compile time.,Support constraints for security checks and resource utilization. Allows the PDU size to be optimized for the channel communications stack (MTU for transport and data link)
CF: Cancel All Transactions Command,CF5015,"When CF receives a ""Cancel All Transactions"" command, CF shall cancel all in-progress transactions.","Support an operational interface to control transactions.  ""All"" provides an interface to cancel transactions without having knowledge of each individual transaction number. Especially useful when there may be hundreds or thousands of transactions in progress."
CF: Cancel All Transactions Command - No Transactions In Progress,CF5015.1,"When CF receives ""Cancel *All* Transactions"" command, if there are no transactions in progress, CF shall reject the command.",Support an operational interface to provide operator feedback.
CF: Suspend Transaction Command,CF5016,"When CF receives a ""Suspend Transaction"" command, if the command-specified transaction is not in progress, CF shall reject the command. ",Support an operational interface to provide operator feedback.
CF: Suspend Transaction Command - Transaction Not In Progress,CF5016.1,"When CF receives a ""Suspend Transaction"" command, if the command-specified transaction is not in progress, CF shall reject the command. ",Support an operational interface to provide operator feedback.
CF: Suspend All Transactions Command,CF5017,"When CF receives a ""Suspend All Transactions"" command, CF shall suspend all in-progress transactions.",Operational interface to align file transfer with communications contact schedule.
CF: Suspend All Transactions Command - No Transactions In Progress,CF5017.1,"When CF receives a ""Suspend All Transactions"" command, if no transactions are in progress, CF shall reject the command.  ",Support an operational interface to provide operator feedback.
CF: Resume Transaction Command,CF5018,"When CF receives a ""Resume Transaction"" command, CF shall resume the command-specified suspended transaction",Operational interface to resume normal operations without knowing which files are suspended
CF: Resume Transaction Command - Transaction Not Suspended,CF5018.1,"When CF receives a ""Resume Transaction"" command, if the command-specified transaction is not suspended, CF shall reject the command. ",Operational interface
CF: Resume All Transactions Command,CF5019,"When CF receives a ""Resume *All* Transactions"", CF shall resume all suspended transactions",Operational interface to resume normal operations without knowing which files are suspended
CF: Resume All Transactions Command - No Suspended Transactions,CF5019.1,"When CF receives a ""Resume ALL Transactions"", if there are no suspended transactions, CF shall reject the command. ",Ensure robust operations and provide operator feedback.
CF: Purge Queue Command,CF5020,"When CF receives a ""Purge Queue"" command, CF shall purge the command-specified queue for the command-specified output channel. ",Support an operational interface to provide operator feedback.
CF: Purge Queue Command - Undefined Queue,CF5020.1,"When CF receives a ""Purge Queue"" command, if the command-specified queue is not defined, CF shall reject the command.",Ensure robust operations and provide operator feedback.
CF: Purge Queue Command - Undefined Channel,CF5020.2,"When CF receives a ""Purge Queue"" command, if the command-specified channel is not defined, CF shall reject the command. ",Ensure robust operations and provide operator feedback.
CF: Write Queue Command,CF5021,"When CF receives a ""Write Queue"" command, CF shall write the command-specified queue's contents to the command-specified file.",Operational interface to allow insight into file transfer order. 
CF: Write Queue Command - Undefined Queue,CF5021.1,"When CF receives a ""Write Queue"" command, if the command-specified queue is not defined, CF shall reject the command. ",Ensure robust operations and provide operator feedback.
CF: Maximum Simultaneous Transactions,CF5023,"The maximum number of transmissions, that is, the sum of simultaneous transmit and receive transactions, shall be defined at compile time.",Supports scaling resource use for mission variability
CF: Maximum Transferable File Size,CF5024,"When CF receives a file-transfer request, if the requested file's size is larger than 2^32 bytes, CF shall reject the request and issue an error event message.",Constrain resources use and exclude implementation complexity of CCSDS  Large-file-size header extensions. CFDP-1S-01
CF: Entity ID Field Size Limit,CF5025,"When CF receives a PDU, if the size of the Entity ID fields are too large for the configured internal storage, CF shall reject the PDU and issue an error event message.",Prevent silent truncation of variable length Entity ID fields in PDU by checking the configured storage size and rejecting PDUs that with an Entity ID field that would be truncated.
CF: Transaction Sequence Number Field Size Limit,CF5026,"When CF receives a PDU, if the size of the Transaction Sequence Number field is too large for the configured internal storage, CF shall reject the PDU and issue an error event message.",Prevent silent truncation of variable length Transaction Sequence Number field in PDU by checking configured storage size and rejecting PDUs that with a Transaction Sequence Number field that would be truncated.
CF: File Transfer Priority Levels,CF5030,Each CF output channel shall have 256 file-transfer priority levels.,Priority levels are used to control the order of file transfer PDUs within a channel. Priority levels allow the control of PDU interleaving in a output channel and prevent a lower-priority transfer from blocking a high-priority operational transfer. 256 priority levels provide a high-level of granularity in the compact space of 1 byte.
CF: File Transfer Priority Levels - Configurable Polling Directory Priority,CF5030.1,The CF file transmission priority level for each polling directory shall be configurable.,Supports management of priorities for each polling directory.  Commanded transfers (single file or playback directory) use the priority level contained in the command.
CF: File Transfer Priority Levels - Highest Priority Value,CF5030.2,The highest file-transfer priority level shall be zero.,Standardized interface. If the number of levels increases or decreases the highest priority will always be the same
CF: NAK Retransmission Ordering,CF5031,CF shall send NAK re-transmissions in the order received at the same priority as the NAK-targeted file,PDU re-transmission priority should be the same as the original request. To not do so would allow a form of priority inversion where a large number of NAKs on a lower priority transfer would suppress re-transmission of higher priority transfers.
CF: Class 1 Unacknowledged Service,CF5040,"CF shall support CFDP file transfers in ""Unacknowledged""(Class-1) Service Mode.","Basic file transfer function. Unacknowledged Mode, also called unreliable mode, is used for non-critical data or operations without bi-directional data paths."
CF: Class 2 Acknowledged Service,CF5041,"CF shall support CFDP file transfer in ""Acknowledged"" (Class-2) Service, Mode.","Basic file transfer function. Acknowledged Mode, also called reliable mode, is used for critical data and/or operations with bi-directional data paths."
CF: Housekeeping Message,CF6000,"The CF Housekeeping message shall include
1. Command Counter
2. Command Error Counter
-- Per-Channel HouseKeeping Entries
3. Number of transactions on the various queues
4. Number of active polling directories
5. Number of active playback directories
6. Frozen Status
7. Number of Sent File Data Bytes
8. Number of Sent PDUs
9. Number of Sent NAK Segment Requests
10. Number of Received File Data Bytes
11. Number of Received PDUs with Valid Headers
12. Number of Received PDUs with Errors
13. Number of Spurious Received PDUs
14. Number of Dropped Received PDUs
15. Number of Received NAK Segment Requests
16. Number of File Open Faults
17. Number of File Read Faults
18. Number of File Seek Faults
19. Number of File Write Faults
20. Number of File Rename Faults
21. Number of Directory Read Faults
22. Number of CRC Mismatch Faults
23. Number of File Size Mismatch Faults
24. Number of NAK Limit Exceeded Faults
25. Number of ACK Limit Exceeded Faults
26. Number of Inactivity Timer Limit Exceeded Faults",Operator interface that provides detailed status on operational state
CF: End Of Transaction Message,CF6001,"The CF End of Transaction message shall include
1. Transaction identifier
2. Channel number
3. Direction of transaction
4. Filenames associated with transaction
5. Transaction state
6. Condition code
7. Source EID of transaction
8. Peer EID of transaction
9. File size
10. CRC state",Operator interface that provides detailed information on transaction
CF: End Of Transaction Message - Generation,CF6001.1,"When a transaction terminates, CF shall generate an End of Transaction information packet",Operational awareness of transaction closure and potential automation of follow-on actions
CF: End Of Transaction Message - Condition Code On Normal Completion,CF6001.2,"If a transaction has reached the FIN or EOF state, the CF End of Transaction message Condition Code shall be set to the CFDP condition code for that transaction.",Preserves the CFDP transaction result in telemetry for operator assessment and automated processing
CF: End Of Transaction Message - Condition Code On Early Termination,CF6001.3,"If the transaction has not reached the FIN or EOF state, the CF End of Transaction message Condition Code shall indicate why the transaction stopped early.",Provides the cause of premature transaction termination in telemetry to support fault diagnosis and recovery
CF: Initialize Housekeeping Data,CF7000,"When CF is initialized, CF shall initialize the the housekeeping counters/numbers to zero and the frozen status as ""thawed"".",All variable must be set to a known valid state on initialization to support reliable functioning
CF: Load Configuration Tables,CF7001,"When CF is initialized, CF shall load valid CF Configuration Tables.",All variables must be set to a known valid state on initialization to support reliable functioning. Table interface supports operational reconfiguration of CF functions.
CF: Load Configuration Tables - Validation Failure,CF7001.1,"If a CF Configuration Table fails validation, CF shall issue an error cFE event message and exit.",Support constraints for security checks and resource utilization. Without a valid configuration CF can not initialize to a functional state. 
CF: Load Configuration Tables - Parameter Validation,CF7001.1.1,CF shall validate CF configuration table parameters.,Support constraints for security checks and resource utilization. Without a valid configuration CF can not initialize to a functional state.  Specific content validation is implementation defined.
CF: Enable Engine Command,CF8000,"When CF receives an ""Initialize Engine"" command, CF shall enable the CFDP engine and re-load its configuration.",Supports operator interface to disable operations due to misconfiguration and other faults
CF: Disable Engine Command,CF8001,"When CF receives a ""Disable Engine"" command, CF shall disable the CFDP engine and reset its state.",Supports operator interface to disable operations due to misconfiguration and other faults
